iter	Passed	Remaining
0	3	704
1	5	585
2	8	581
3	12	598
4	15	617
5	18	593
6	20	575
7	23	563
8	25	549
9	28	539
10	30	531
11	35	563
12	45	649
13	49	653
14	51	638
15	56	651
16	66	717
17	73	744
18	77	735
19	79	718
20	83	709
21	91	742
22	94	726
23	98	721
24	107	751
25	110	740
26	113	726
27	118	726
28	122	723
29	125	708
30	127	694
31	130	682
32	132	672
33	136	665
34	139	656
35	141	646
36	144	636
37	147	629
38	150	622
39	153	615
40	156	607
41	158	598
42	161	591
43	165	585
44	168	578
45	170	572
46	173	564
47	176	558
48	179	553
49	182	547
50	185	541
51	187	534
52	190	527
53	193	524
54	197	520
55	199	514
56	202	508
57	205	501
58	207	496
59	211	492
60	214	488
61	217	483
62	220	478
63	222	473
64	226	469
65	229	465
66	231	459
67	234	454
68	236	449
69	241	447
70	244	444
71	247	439
72	249	434
73	252	429
74	255	425
75	258	421
76	260	416
77	263	411
78	265	407
79	268	402
80	271	398
81	274	394
82	276	390
83	279	385
84	281	380
85	283	376
86	286	372
87	289	369
88	292	364
89	294	360
90	297	356
91	300	352
92	302	348
93	306	345
94	308	341
95	311	337
96	313	333
97	316	329
98	320	326
99	323	323
100	325	319
101	328	315
102	330	311
103	332	307
104	335	303
105	338	299
106	340	296
107	342	292
108	345	288
109	347	284
110	350	281
111	353	277
112	356	274
113	358	270
114	361	267
115	363	263
116	366	260
117	370	257
118	372	253
119	375	250
120	378	247
121	381	244
122	384	240
123	387	237
124	391	234
125	394	231
126	397	228
127	400	225
128	403	222
129	406	218
130	409	215
131	412	212
132	415	209
133	418	206
134	421	202
135	424	199
136	426	196
137	429	193
138	432	189
139	435	186
140	438	183
141	439	179
142	442	176
143	445	173
144	448	169
145	450	166
146	453	163
147	456	160
148	460	157
149	462	154
150	465	151
151	468	147
152	471	144
153	475	141
154	477	138
155	480	135
156	483	132
157	486	129
158	489	126
159	492	123
160	496	120
161	499	117
162	502	114
163	506	111
164	509	108
165	513	105
166	515	101
167	519	98
168	522	95
169	525	92
170	528	89
171	531	86
172	534	83
173	537	80
174	540	77
175	542	74
176	544	70
177	547	67
178	550	64
179	554	61
180	557	58
181	559	55
182	563	52
183	565	49
184	568	46
185	571	43
186	575	39
187	578	36
188	580	33
189	583	30
190	586	27
191	589	24
192	592	21
193	595	18
194	597	15
195	605	12
196	608	9
197	610	6
198	613	3
199	620	0
